Elevation, Aspect, Slope, Horiz_Dist_Hydro, Vert_Dist_Hydro, Horiz_Dist_Roadways, Hillshade_9am, Hillshade_Noon, Hillshade_3pm, Horiz_Dist_FirePts
1368.8728, 164.567, 18.1555, 353.7312, 277.9752, 989.6141, 151.6719, 125.2247, 125.4416, 435.6292
1567.4489, 255.5297, 17.1842, 477.732, 487.9222, 609.2233, 212.2606, 160.8203, 53.7272, 91.8968
2358.8718, 80.0548, 11.6089, 313.5901, 159.6409, 76.1038, 120.3836, 188.3921, 210.2386, 901.0987
1228.2482, 293.1585, 18.9545, 158.6471, 45.7466, 536.5465, 15.3811, 66.1231, 12.4047, 323.1703
960.3178, 199.5701, 43.4645, 390.0707, 19.2933, 249.8884, 163.4062, 82.2689, 207.5376, 556.5158
1634.8964, 287.5557, 37.0444, 296.763, 476.7136, 163.1295, 14.4375, 121.4672, 11.1023, 989.8404
2159.0525, 240.9912, 44.8588, 444.9791, 124.1764, 942.9551, 213.5546, 179.3176, 73.7424, 718.0994
996.5431, 241.605, 19.9076, 31.466, 301.9017, 666.8749, 184.0959, 28.1019, 136.4171, 956.3281
1317.3545, 74.8531, 20.7256, 447.8765, 404.7847, 685.1536, 238.762, 110.4941, 201.2303, 717.8662
1455.0285, 98.9068, 6.1904, 206.8063, 325.022, 98.0478, 90.8187, 229.1583, 38.8184, 257.6188
1738.4141, 319.5523, 56.1816, 2.591, 76.1387, 943.2853, 15.0945, 95.145, 57.4327, 392.4811
1173.8821, 185.4314, 28.6073, 327.5991, 112.2789, 479.5923, 239.3067, 143.7657, 136.7998, 103.9942
1989.8762, 37.0622, 6.3683, 479.8461, 62.7994, 884.3571, 149.0409, 13.6588, 29.7394, 584.9278
1668.623, 106.7198, 3.6443, 262.0633, 492.6226, 586.3271, 158.6386, 135.9439, 33.9087, 722.1461
1160.2655, 99.8682, 13.1007, 131.6947, 432.531, 234.7834, 218.8124, 224.7794, 65.5326, 601.2872
2187.6707, 255.8925, 55.076, 250.5212, 211.2794, 700.2932, 171.5436, 2.2962, 8.9598, 991.0745
1270.4458, 237.9964, 9.5411, 450.6498, 450.26, 322.3588, 252.0619, 47.4344, 68.3088, 511.2065
2243.7045, 309.0156, 1.8449, 268.4535, 440.2504, 7.6884, 60.3342, 24.768, 72.5694, 730.5908
969.982, 109.4219, 16.3657, 251.7401, 223.8442, 459.1135, 23.6922, 17.218, 253.5973, 283.178
2295.2143, 61.9114, 57.7813, 359.0983, 123.3944, 327.2392, 99.2138, 221.8225, 219.5632, 55.9075
1415.3608, 47.8101, 39.5107, 499.1715, 226.1496, 50.7009, 192.285, 160.3007, 27.2267, 4.5349
1087.2574, 96.2913, 1.9527, 195.8025, 110.7609, 540.5233, 224.9535, 143.313, 211.8309, 423.711
1353.494, 148.4542, 30.5809, 270.8603, 244.0498, 201.7587, 62.1315, 112.513, 148.4259, 851.1128
1779.0949, 53.1277, 24.1147, 357.477, 217.0136, 431.6719, 226.3059, 146.1027, 194.8028, 863.2794
